package, guess, num_versions, num_parsed_versions, breaking_versions
HPhone, Unknown, 3, 2, 
HPi, Unknown, 6, 0, 
HPlot, Unknown, 3, 0, 
HPong, Unknown, 3, 0, 
HROOT, PVP, 19, 15, 0.5.1.0, 0.6.0.0, 0.6.1, 0.6.3, 0.6.6, 0.6.7, 0.6.8, 0.7, 0.8
HROOT-core, Unknown, 1, 0, 
HROOT-graf, Unknown, 1, 0, 
HROOT-hist, Unknown, 1, 0, 
HROOT-io, Unknown, 1, 0, 
HROOT-math, Unknown, 1, 0, 
HRay, Unknown, 6, 0, 
HSFFIG, Unknown, 3, 2, 1.1.3
HSGEP, Unknown, 6, 1, 
HSH, SemVer, 12, 6, 2.0.0, 2.0.1
HSHHelpers, PVP, 13, 10, 0.12, 0.15, 0.17, 0.19
HSet, Unknown, 1, 0, 
HSlippyMap, Unknown, 9, 0, 
HSmarty, Unknown, 6, 0, 
HSoundFile, Unknown, 1, 0, 
HStringTemplate, PVP, 33, 18, 0.5.1.2, 0.5.1.3, 0.6, 0.6.1, 0.6.6, 0.7.0, 0.8.5
HStringTemplateHelpers, Unknown, 10, 9, 0.0.3, 0.0.4, 0.0.7, 0.0.8, 0.0.11
HSvm, Unknown, 1, 0, 
HTF, PVP, 50, 39, 0.5.0.0, 0.6.0.1, 0.7.0.0, 0.7.1.0, 0.8.2.2, 0.9.0.0, 0.10.0.0, 0.11.0.0, 0.11.4.0, 0.12.0.0, 0.13.0.0
HTTP, PVP, 52, 38, 3001.0.4, 4000.0.0, 4000.0.2, 4000.0.3, 4000.0.5, 4000.0.6, 4000.0.8, 4000.0.9, 4000.0.10, 4000.2.21, 4000.3.0
HTTP-Simple, Unknown, 2, 0, 
HTab, Unknown, 7, 0, 
HTicTacToe, Unknown, 2, 0, 
HUnit, PVP, 19, 13, 1.2.2.3, 1.3.0.0
HUnit-Diff, Unknown, 1, 0, 
HUnit-Plus, PVP, 8, 7, 0.3.1, 0.3.2, 0.3.3, 1.1.0
HUnit-approx, Unknown, 2, 0, 
HXMPP, Unknown, 1, 0, 
